S11,,S21,,S22,
X,Y,X,Y,X,Y
1872000000.0000005,-5.434819946538589,1752000000.0000005,21.904938937812698,1752000000.0000005,-5.6964244258584955
1896000000.0000005,-6.007180491696261,1776000000.0000005,22.452003386490343,1776000000.0000005,-5.7475372845757775
1920000000.0000005,-6.602395400262203,1800000000.0000005,22.94186230525988,1800000000.0000005,-5.959883318239839
1944000000.0000005,-7.270175762884136,1824000000.0000005,23.511537214836736,1824000000.0000005,-5.931907013546883
1968000000.0000005,-8.467053966770408,1848000000.0000005,23.991923312927064,1848000000.0000005,-5.935648809902183
1992000000.0000005,-8.753803960506218,1872000000.0000005,24.57178322593217,1872000000.0000005,-5.742153667710014
2016000000.0000005,-9.04164830994872,1896000000.0000005,25.026152386191406,1896000000.0000005,-5.262803491498644
2040000000.0000005,-9.319129383104972,1920000000.0000005,25.497640764739767,1920000000.0000005,-4.937946910674974
2064000000.0000005,-9.574789547982036,1944000000.0000005,25.776536666652266,1944000000.0000005,-4.929134803464294
2088000000.0000005,-9.797171172586964,1968000000.0000005,25.612874573286494,1968000000.0000005,-5.766991054095719
2112000000.0000005,-10.04395842300871,1992000000.0000005,25.369269708029215,1992000000.0000005,-7.087706147902409
2136000000.0000005,-10.483651799756515,2016000000.0000005,25.16842272110569,2016000000.0000005,-8.3527954848702
2160000000.0000005,-11.324854748235012,2040000000.0000005,25.329284449528718,2040000000.0000005,-9.185154088837884
2184000000.0000005,-12.020100413159682,2064000000.0000005,25.703393027140066,2064000000.0000005,-9.08519049450291
2208000000.0000005,-12.85003915517764,2088000000.0000005,26.166311156810217,2088000000.0000005,-8.447370226327237
2232000000.0000005,-13.79450060441416,2112000000.0000005,26.511273231520853,2112000000.0000005,-7.657863748066312
2256000000.0000005,-14.84614140850067,2136000000.0000005,26.85945078594728,2136000000.0000005,-7.323542559733276
2280000000.0000005,-15.784345657014022,2160000000.0000005,27.078488107908647,2160000000.0000005,-6.848167069055762
2304000000.0000005,-16.95945284250506,2184000000.0000005,27.199579090034,2184000000.0000005,-6.510907429135685
2328000000.0000005,-18.129492663113837,2208000000.0000005,27.433685983732804,2208000000.0000005,-6.278291606552827
2352000000.0000005,-19.300294835974412,2232000000.0000005,27.54688080492577,2232000000.0000005,-6.046503392907127
2376000000.0000005,-20.58781711555492,2256000000.0000005,27.661931098753506,2256000000.0000005,-5.935754736840991
2400000000.0000005,-21.876108548235223,2280000000.0000005,27.659234540791587,2280000000.0000005,-5.937695712012648
2424000000.0000005,-23.163878725917932,2304000000.0000005,27.65975491366002,2304000000.0000005,-5.936960268331447
2448000000.0000005,-24.452127714998014,2328000000.0000005,27.65967128175518,2328000000.0000005,-5.9376727316502524
2472000000.0000005,-25.739006454011033,2352000000.0000005,27.659677410510202,2352000000.0000005,-6.0550714121105855
2496000000.0000005,-27.031625085472754,2376000000.0000005,27.659691866074247,2376000000.0000005,-6.172195431364635
2520000000.0000005,-28.299785717999185,2400000000.0000005,27.65960900412548,2400000000.0000005,-6.289769592458967
2544000000.0000005,-29.941524675088658,2424000000.0000005,27.66004382325757,2424000000.0000005,-6.403810892513242
