Designator,Comment,Description,Footprint,Manufacturer,Manufacturer Part Number
"R7","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R8","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R9","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"D3","BAT60JFILM","DIODE SCHOTTKY 10V 3A SOD323","SODFL250X117-2N","STMicroelectronics","BAT60JFILM"
"U14","MIC5353-3.0YMT-TR","IC REG LINEAR 3V 500MA 6TMLF","SON50P160X55_HS-7N","Microchip Technology","MIC5353-3.0YMT-TR"
"U7","ADL5350ACPZ-R7","IC MIXER 750MHZ-4GHZ 8LFCSP","SON50P200X80_HS-9N","Analog Devices Inc.","ADL5350ACPZ-R7"
"U10","ADM7171ACPZ-3.3-R7","IC REG LDO 3.3V 1A 8-LFCSP","SON50P300X80_HS-9N LFCSP_WD Analog","Analog Devices Inc.","ADM7171ACPZ-3.3-R7"
"U11","TLV73318PDBVT","IC REG LINEAR 1.8V 300MA SOT23-5","SOT95P280X145-5N","Texas Instruments","TLV73318PDBVT"
"U13","LD6836TD/16H","NEXPERIA - LD6836TD/16H - LDO, 5,5V, 0.09VDO, 0,3A, 1,6V, 5SOT753","SOT-753","NEXPERIA","LD6836TD/16H"
"TP1","1625854-4","1206 PROBE PAD","TESTPOINT 1206","TE Connectivity AMP Connectors","1625854-4"
"TP2","1625854-4","1206 PROBE PAD","TESTPOINT 1206","TE Connectivity AMP Connectors","1625854-4"
"USB_DATA","USB micro B","","USB-MicroB","",""
"USB_POWER","USB micro B","","USB-MicroB","",""
"U5","MAX2750EUA+","IC OSC VOLT CNTRL 8-UMAX","uSOP-8 uMAX","Maxim Integrated","MAX2750EUA+"
"U2","MAX5388LAUB+","IC DGTL POT 256POS 10K 10UMAX","uSOP-10 uMAX","Maxim Integrated","MAX5388LAUB+"
