freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
1.90546071798915873E1	1.38184805654221643E-3
1.94984459978467650E1	1.38184807494444239E-3
1.99526231499625029E1	1.38184804132754935E-3
2.04173794469765912E1	1.38184804853571475E-3
2.08929613088294897E1	1.38184806624373580E-3
2.13796208953194267E1	1.38184806414762140E-3
2.18776162398008589E1	1.38184802736823764E-3
2.23872113859971744E1	1.38184807963804168E-3
2.29086765280001847E1	1.38184799054642982E-3
2.34422881535305860E1	1.38184802246444827E-3
2.39883291905354223E1	1.38184797582734875E-3
2.45470891572002170E1	1.38184798988307822E-3
2.51188643154553626E1	1.38184797291939998E-3
2.57039578280581082E1	1.38184800264488628E-3
2.63026799193334648E1	1.38184800281458076E-3
2.69153480396592482E1	1.38184798961503796E-3
2.75422870337824843E1	1.38184801005745639E-3
2.81838293130563766E1	1.38184798801065201E-3
2.88403150316892098E1	1.38184798597238845E-3
2.95120922670986285E1	1.38184800488176984E-3
3.01995172044668614E1	1.38184793794109306E-3
3.09029543255948536E1	1.38184795556426687E-3
3.16227766021553158E1	1.38184799723779816E-3
3.23593656934472573E1	1.38184798710818546E-3
3.31131121487567981E1	1.38184792636521947E-3
3.38844156144315622E1	1.38184787783255358E-3
3.46736850457784485E1	1.38184793521440885E-3
3.54813389238971855E1	1.38184788428866323E-3
3.63078054775645054E1	1.38184792666796974E-3
3.71535229102867515E1	1.38184792525449107E-3
3.80189396326411488E1	1.38184788161790117E-3
3.89045145000290393E1	1.38184793598381983E-3
3.98107170559670731E1	1.38184787448494162E-3
4.07380277810454317E1	1.38184785290479728E-3
4.16869383476849542E1	1.38184788851753071E-3
4.26579518808283975E1	1.38184786011489114E-3
4.36515832247039182E1	1.38184783134779376E-3
4.46683592158023135E1	1.38184778898391403E-3
4.57088189622126784E1	1.38184779686700132E-3
4.67735141294646706E1	1.38184778038540923E-3
4.78630092330288903E1	1.38184777280700133E-3
4.89778819376304142E1	1.38184777673890347E-3
5.01187233635343166E1	1.38184773329707644E-3
5.12861383999654308E1	1.38184775312242381E-3
5.24807460258286440E1	1.38184770060579076E-3
5.37031796378996962E1	1.38184770206169372E-3
5.49540873866605217E1	1.38184766836959549E-3
5.62341325199572495E1	1.38184760295231346E-3
5.75439937346629460E1	1.38184763257945420E-3
5.88843655365317264E1	1.38184759162326820E-3
6.02559586084348631E1	1.38184759180453276E-3
6.16595001871742543E1	1.38184754484347105E-3
6.30957344490730243E1	1.38184753205273814E-3
6.45654229045476491E1	1.38184752713737846E-3
6.60693448018708374E1	1.38184750402805490E-3
6.76082975403393327E1	1.38184739068939355E-3
6.91830970930655109E1	1.38184740786904703E-3
7.07945784396171707E1	1.38184737622099751E-3
7.24435960087347297E1	1.38184734761973838E-3
7.41310241313606788E1	1.38184732800265264E-3
