Default Dataset,
X,Y
3278.188977776382,-76.7666544574011
3335.133314706366,-76.9290523991837
3395.3442176750827,-77.68173155544571
3466.7070552550654,-78.06936838170071
3540.3615214022057,-78.06936838170071
3627.7309406724753,-77.79842699345393
3702.321583205788,-78.06936838170071
3766.633387402091,-78.22823593344458
3862.177297922106,-78.68577448246688
3941.5884480158875,-78.93996256525705
4017.2378911044643,-79.09709701643642
4078.8014920418946,-79.38987547179563
4163.597814096038,-79.97520130243882
4246.3564161082,-79.98213370469674
4329.099845566504,-80.18548417092887
4432.675195117688,-80.8463731861833
4520.782168629863,-80.8463731861833
4605.340162657414,-81.08058934818281
4703.486844686285,-81.60167491790267
4810.073344168852,-81.47337045706571
4929.144311364724,-82.3443882874267
5036.980528050975,-82.07192287106447
5160.788971862342,-82.60027095743547
5266.05984340371,-82.83267149027219
5367.986865054982,-83.00697188989973
5474.684751932428,-83.00697188989973
5583.50344114235,-83.00697188989973
5648.819336420184,-83.00697188989973
5720.014275168182,-83.77970366158185
5835.0141976506,-84.16035031556012
5954.989318548926,-83.89431937891268
6116.977780403823,-84.32874992040861
6242.750421888023,-84.60517946044291
6388.231324617078,-85.30737403915076
6523.957176366179,-85.65052795091748
6667.038563436546,-86.00639126682371
6785.884216900517,-86.05722888338175
6917.228141593174,-86.25331683296274
7058.32723304725,-86.51476743240406
7237.367802227899,-86.94226557164207
7381.222820964915,-86.94688717314735
7527.937203351994,-86.94688717314735
7657.968440038636,-87.00135604803096
7830.172527664867,-87.37900691389062
7978.669442580478,-87.37900691389062
8173.739586533008,-87.81112665463391
8341.801798871846,-88.08120149259847
8486.704480034645,-88.2432463953772
8701.977072308226,-88.67998773762575
8874.94369622372,-88.67767693687311
9087.860789278384,-89.22504786515422
9280.94359788754,-89.56502442588607
9448.497318144071,-89.56784873791707
9942.806436114444,-89.90182363558304
10222.41319633809,-90.41110761574477
10462.97591006327,-90.85214044510538
10670.945386911446,-90.8590728473633
10941.623137132927,-91.29350338885922
11159.106543312866,-91.29350338885922
11380.912802818228,-91.66207610890496
11612.321012311684,-92.27212750760137
11859.03909124325,-92.59217341184171
12119.127825216516,-92.97114473527432
12335.161623745911,-93.02198235183236
12580.343982166598,-93.02198235183236
12847.628902751183,-93.36513626359908
13085.425818094292,-93.47952090085467
13327.624119356526,-93.58119613397072
13610.785927918609,-93.91164064159794
13868.910472777838,-93.90401499911424
14198.460948432205,-94.50262793408508
14490.398895994362,-94.77588012308452
14752.001632549896,-94.77305581105351
15099.15855894725,-95.20799986382781
15399.28006676146,-95.20799986382781
15807.563525823069,-95.80851920941957
16143.414705061503,-96.35820093845331
16453.249267470117,-96.52977789433668
16737.448815363507,-96.58787802754586
17113.82240909248,-96.93647882680095
17498.65948394209,-97.32865472596292
17800.916566007283,-97.39401737582325
18154.74011845281,-97.39401737582325
18528.02406718186,-97.65773751171805
18849.868247697686,-97.82048849250454
19293.45973357625,-98.25825685730982
19690.1571683511,-98.52833169527437
20108.49883710842,-99.06848137120348
20466.949993755647,-99.1224963387964
20873.765503938106,-99.1224963387964
21294.10939427271,-99.45294084642362
21828.672603299034,-99.98673582028296
22262.55467094596,-99.98673582028296
22705.060884093935,-99.98673582028296
23125.309124589025,-100.09794310650366
23616.63483250467,-100.64127013346764
24064.517353729447,-100.85097530176954
24652.869697202612,-101.30851385079184
25142.88749498826,-101.30851385079184
25596.805169774638,-101.30851385079184
26199.17144044559,-101.73832279078249
26737.858863394627,-102.0075310784648
27202.313369899697,-102.1727533322784
27892.32355332875,-102.60718387377433
28446.731017068272,-102.60718387377433
29129.19115229581,-103.15137745102055
29748.07673721083,-103.49453136278728
30285.134297708333,-103.49453136278728
31053.342897755447,-103.90123229525155
31670.58100786347,-103.90123229525155
32473.932660841696,-104.35877084427385
33141.636948278894,-104.6161362780989
33845.77189183225,-105.16581800713264
34449.101666994626,-105.22301032576043
35133.83626957398,-105.22301032576043
35880.29794426727,-105.54710013131789
36446.45772510027,-105.65513006650372
37270.789166276685,-106.087249807247
38037.12276628747,-106.36685669831618
38767.155135701876,-106.51936954799028
39458.21276814296,-106.57656186661808
40323.59794182798,-106.95148928873357
41180.32250268622,-107.2946432005003
41830.11204453917,-107.40902783775587
42776.208831402,-107.81572877022015
43626.45887963711,-107.81572877022015
44539.12387842754,-108.20790466938212
45540.67138429812,-108.7030762592331
46445.869836872014,-108.7030762592331
47624.00945793533,-109.13750680072901
48570.61780507427,-109.13750680072901
49635.853394233345,-109.51878892491426
50419.06383252982,-109.62999621113497
51524.838961477806,-110.00174628221559
52619.54769992521,-110.32265873673818
53593.48353077042,-110.43386602295887
54585.44595143011,-110.54189595814469
55745.18105937979,-110.86598576370216
56967.76692449853,-111.26633199409667
57983.26599835344,-111.32352431272446
59135.78222311394,-111.32352431272446
60392.19483612503,-111.6380820651773
61345.13095291978,-111.74928935139799
62844.95540509085,-112.18776379421104
64137.12554678675,-112.45466128114072
65368.085575441924,-112.61988353495431
66577.98424463495,-112.72473611910526
67992.51561649065,-113.0520032756976
69521.45755570436,-113.4260228832317
70469.6851591928,-113.48775427476646
72128.0390499674,-113.91624275718418
73561.70674415363,-113.91624275718418
74889.75464180579,-113.91624275718418
76652.12545003147,-114.37378130620648
78228.18811354361,-114.62796938899665
79587.0641062211,-114.78048223867074
81459.97608415496,-115.23802078769305
83079.13193005466,-115.23802078769305
84901.19745130259,-115.60977085877367
86240.8642348993,-115.7178007939595
88132.27187956907,-116.10226026917962
90004.75067058323,-116.42635007473709
91670.6496654637,-116.53438000992291
93492.76004946264,-116.53206920917027
94671.09678297934,-116.52590707382991
99713.09113087996,-117.42403829968849
101998.77438424359,-117.70364519075768
103438.43275913215,-117.81167512594351
105777.96196640111,-118.28827778117507
107880.47922356697,-118.28827778117507
110815.05928052214,-118.69497871363933
113191.1591224145,-119.021791962941
115264.11676807472,-119.15251726266163
117397.54166886142,-119.26054719784746
119891.7972032306,-119.58694780415756
122165.50981243122,-119.58463700340492
125152.3290755487,-120.01675674414821
127639.9448961241,-120.01675674414821
130439.30422170051,-120.39486151729858
132497.522578886,-120.5028914524844
135403.41677798482,-120.88099622563479
138280.2293318937,-121.22415013740151
140839.6597323951,-121.33853477465709
143639.08798357268,-121.33853477465709
146592.48558687128,-121.59272285744726
149138.89518901837,-121.74523570712135
152648.5613177068,-122.20277425614366
155762.3191514537,-122.44243730563153
158777.17081450296,-122.63489399688694
161607.50941852664,-122.6825542624101
165151.8347388027,-123.06701373763023
168434.50890018645,-123.06701373763023
172706.99575825618,-123.49913347837351
176139.84162014132,-123.49913347837351
180931.2225091946,-123.9312532191168
184651.39259953695,-124.20768275915111
188195.33819403875,-124.36337295986009
191678.64793494454,-124.47775759711566
195751.09716714977,-124.79549270060338
199463.4590490835,-124.79549270060338
204340.13252828855,-125.25303124962568
208541.6188099042,-125.50721933241584
212164.12632424844,-125.65973218208994
217156.95698012295,-126.11727073111224
221473.32157135333,-126.11727073111224
225471.6950745925,-126.11727073111224
231190.97944430515,-126.54707967110289
235944.55240400735,-126.81628795878521
240472.94856320845,-126.98151021259882
245252.75822144566,-126.98151021259882
250127.57474222442,-127.20074743400534
254871.17049995688,-127.41617183417002
261102.50471884874,-127.84574969408538
266471.09569556126,-128.1221792341197
271585.3764619156,-128.2778694348287
276983.59864534583,-128.2778694348287
282344.74418787804,-128.47032612608407
288104.0723560786,-128.70998917557196
293043.08472710435,-128.70998917557196
299671.016313266,-129.16752772459427
305627.4884513012,-129.16752772459427
