freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
4.07380277808024438E0	1.38145479742169908E-3
4.16869383474363087E0	1.38145478759676443E-3
4.26579518805739610E0	1.38145483957153425E-3
4.36515832244435575E0	1.38145481489253341E-3
4.46683592155358777E0	1.38145482127922326E-3
4.57088189619400342E0	1.38145482795902108E-3
4.67735141291856849E0	1.38145480419020106E-3
4.78630092327434031E0	1.38145484228471993E-3
4.89778819373382834E0	1.38145483457325513E-3
5.01187233632353824E0	1.38145481183995833E-3
5.12861383996595332E0	1.38145482025527011E-3
5.24807460255156233E0	1.38145482906203654E-3
5.37031796375793835E0	1.38145483828532556E-3
5.49540873863327484E0	1.38145481717955465E-3
5.62341325196218378E0	1.38145484267810303E-3
5.75439937343197272E0	1.38145483788615797E-3
5.88843655361805141E0	1.38145484897415982E-3
6.02559586080754617E0	1.38145479905308122E-3
6.16595001868064774E0	1.38145487274683698E-3
6.30957344486966853E0	1.38145483932856217E-3
6.45654229041625438E0	1.38145485266309009E-3
6.60693448014767704E0	1.38145480509266827E-3
6.76082975399360819E0	1.38145485047634331E-3
6.91830970926528721E0	1.38145480424997968E-3
7.07945784391949218E0	1.38145483566662897E-3
7.24435960083026487E0	1.38145485244904354E-3
7.41310241309185347E0	1.38145482387670793E-3
7.58577575037689389E0	1.38145487305151571E-3
7.76247116637441792E0	1.38145484617419845E-3
7.94328234733282734E0	1.38145485097000043E-3
8.12830516173358575E0	1.38145487210084017E-3
8.31763771112195549E0	1.38145486346376867E-3
8.51138038212173598E0	1.38145487124850996E-3
8.70963589966157947E0	1.38145488012855377E-3
8.91250938144110805E0	1.38145484399902152E-3
9.12010839366570814E0	1.38145490137316584E-3
9.33254300807956128E0	1.38145488307699793E-3
9.54992586032713398E0	1.38145492763341204E-3
9.77237220967409037E0	1.38145488125470894E-3
1.00000000001192824E1	1.38145491324214942E-3
1.02329299229302118E1	1.38145488519818116E-3
1.04712854806351485E1	1.38145492026905004E-3
1.07151930525057959E1	1.38145495699444165E-3
1.09647819615652575E1	1.38145488776095560E-3
1.12201845431568192E1	1.38145495879359070E-3
1.14815362151098932E1	1.38145493942140440E-3
1.17489755495403481E1	1.38145493742170711E-3
1.20226443463232768E1	1.38145498365385566E-3
1.23026877082771713E1	1.38145497052951827E-3
1.25892541180993511E1	1.38145497507077808E-3
1.28824955170934596E1	1.38145498200126138E-3
1.31825673857307546E1	1.38145500681717470E-3
1.34896288260879071E1	1.38145500348306061E-3
1.38038426462050334E1	1.38145501827927619E-3
1.41253754464086745E1	1.38145500518000675E-3
1.44543977076454899E1	1.38145502585189983E-3
1.47910838818735080E1	1.38145501890984623E-3
1.51356124845588758E1	1.38145509218322138E-3
1.54881661893271150E1	1.38145506122166251E-3
1.58489319248190941E1	1.38145508002884276E-3
1.62181009738030713E1	1.38145514877638487E-3
1.65958690745953485E1	1.38145511379807684E-3
1.69824365248433184E1	1.38145511373829777E-3
1.73780082877259257E1	1.38145513341323456E-3
1.77827941006278678E1	1.38145518840779746E-3
1.81970085863451159E1	1.38145517124742656E-3
1.86208713668807802E1	1.38145522061892612E-3
1.90546071798915873E1	1.38145521367301560E-3
1.94984459978467650E1	1.38145524297426681E-3
1.99526231499625029E1	1.38145527800849699E-3
2.04173794469765912E1	1.38145527288873238E-3
2.08929613088294897E1	1.38145528943588869E-3
2.13796208953194267E1	1.38145529718206350E-3
2.18776162398008589E1	1.38145532719680331E-3
2.23872113859971744E1	1.38145539519807459E-3
2.29086765280001847E1	1.38145539383858895E-3
2.34422881535305860E1	1.38145546192085122E-3
2.39883291905354223E1	1.38145555367551576E-3
2.45470891572002170E1	1.38145554640949975E-3
2.51188643154553626E1	1.38145557899665627E-3
2.57039578280581082E1	1.38145557494712490E-3
2.63026799193334648E1	1.38145565777160906E-3
2.69153480396592482E1	1.38145565872228482E-3
2.75422870337824843E1	1.38145570136577711E-3
2.81838293130563766E1	1.38145574005615579E-3
