Default Dataset,
X,Y
1089600000,-4.915518605925662
1090399999.999999,-4.930943032177275
1091199999.999999,-4.946927209295019
1091999999.999999,-4.963461667057757
1092800000,-4.980536935244366
1093600000,-4.998143543633702
1094399999.999999,-5.016272022004642
1095199999.999999,-5.034912900136064
1095999999.999999,-5.054056707806815
1096799999.999999,-5.0736939747957805
1097600000,-5.093815230881823
1098400000,-5.114411005843806
1099199999.999999,-5.1354655663894135
1099999999.999999,-5.1568966607496876
1100799999.999999,-5.178581931341334
1101600000,-5.200398467743746
1102400000,-5.222223359536322
1103199999.999999,-5.243933696298463
1103999999.999999,-5.26540656760956
1104799999.999999,-5.28651906304902
1105600000,-5.30714827219623
1106400000,-5.3271712846305945
1107199999.999999,-5.346465189931507
1107999999.999999,-5.36490707767836
1108799999.999999,-5.382375436957865
1109599999.999999,-5.39881810075444
1110400000,-5.414282725305831
1111199999.999999,-5.428824717007103
1111999999.999999,-5.442499482253332
1112799999.999999,-5.455362427439589
1113599999.999999,-5.467468958960929
1114400000,-5.478874483212429
1115200000,-5.489634406589161
1115999999.999999,-5.499804135486187
1116799999.999999,-5.509439076298584
1117599999.999999,-5.518594635421415
1118400000,-5.527326219349305
1119200000,-5.535693145880472
1119999999.999999,-5.543769019670407
1120799999.999999,-5.551630706517315
1121599999.999999,-5.559355072219411
1122400000,-5.567018982574901
1123200000,-5.574699303382005
1123999999.999999,-5.58247290043893
1124799999.999999,-5.590416639543889
1125599999.999999,-5.5986073864950825
1126399999.999999,-5.607122007090737
1127200000,-5.616037367129046
1128000000,-5.625430332408236
1128799999.999999,-5.635369942531696
1129599999.999999,-5.645844300659583
1130399999.999999,-5.6567936971820245
1131200000,-5.668157802007769
1132000000,-5.679876285045573
1132799999.999999,-5.691888816204177
1133599999.999999,-5.704135065392329
1134399999.999999,-5.716554702518778
1135200000,-5.729087397492279
1136000000,-5.741672820221574
1136799999.999999,-5.75425064061541
1137599999.999999,-5.7667605285825445
1138399999.999999,-5.779142333751707
1139199999.999999,-5.791344381308505
1140000000,-5.803326954828584
1140800000,-5.8150512401544034
1141599999.999999,-5.8264784231284565
1142399999.999999,-5.837569689593202
1143199999.999999,-5.848286225391135
1144000000,-5.858589216364706
1144800000,-5.868439848356417
1145599999.999999,-5.8777993072087185
1146399999.999999,-5.886628778764106
1147199999.999999,-5.894889448865051
1148000000,-5.902542504606707
1148800000,-5.909574888370862
1149599999.999999,-5.916065512775376
1150399999.999999,-5.922113810984847
1151199999.999999,-5.9278192161638685
1151999999.999999,-5.933281161477041
1152800000,-5.938599080088963
1153600000,-5.943872405164207
1154399999.999999,-5.9492005698673935
1155199999.999999,-5.954683007363123
1155999999.999999,-5.960419150815973
1156800000,-5.96650843339053
1157600000,-5.973050288251429
1158399999.999999,-5.980135547600213
1159199999.999999,-5.987768413308046
1159999999.999999,-5.9959029474328105
1160800000,-6.004492600502537
1161600000,-6.013490823045302
1162399999.999999,-6.022851065589158
1163199999.999999,-6.032526778662174
1163999999.999999,-6.042471412792402
1164799999.999999,-6.052638418507904
1165600000,-6.062981246336747
1166400000,-6.073453346806986
1167199999.999999,-6.084008170446687
1167999999.999999,-6.094600140895459
